Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT
0.365710346,-0.492534681,-0.735702809,-0.214981161,0.209567908,-0.708348495,-0.468996328,0.139448869,0.77172217,-0.426993893,-0.079759629,0.701158217,0.214301809,-0.587126674,-0.476911461,0.24416604,-0.354391866,-0.921359185,-0.86405024,-0.328853196,832.8571429,849.3772894,844.9450549,830.8424908,834.4688645
0.30176879,-0.40234875,-0.808287399,-0.319967873,0.109097439,-0.787242144,-0.563984856,-0.032662997,0.524591604,-0.426557862,-0.06318505,0.419547145,0.111905645,-0.590724298,-0.453911337,0.230146311,-0.339425384,-0.862953566,-0.874206036,-0.517206178,841.7216117,847.7655678,841.3186813,834.0659341,847.3626374
0.319611871,-0.403179579,-0.768149785,-0.358429818,0.070012867,-0.607319835,-0.678771279,-0.098725894,0.511793463,-0.440263493,-0.046485282,0.45359921,0.132359619,-0.570708833,-0.498671045,0.222869487,-0.255703299,-0.839068497,-0.914430506,-0.434258308,835.2747253,842.5274725,841.3186813,829.6336996,859.8534799
0.365754507,-0.469149138,-0.828637882,-0.048054925,0.227062565,-0.561023085,-0.617447175,0.028861461,0.41102904,-0.444561218,-0.044874786,0.446701712,0.112618179,-0.532219966,-0.483124167,0.139693702,-0.237224836,-0.912269056,-1.057093874,-0.256299197,823.992674,842.1245421,844.5421245,835.2747253,836.8864469
0.25196122,-0.638690517,-0.520082724,0.087763935,0.276835792,-0.481554033,-0.410203939,0.159938487,0.497481655,-0.422806376,-0.209485729,0.486539094,0.138598659,-0.538115357,-0.500101126,0.133808244,-0.237721117,-0.977454449,-1.042562298,-0.261547394,832.4542125,846.1538462,839.7069597,831.2454212,815.1282051
0.273584779,-0.708550253,-0.439704414,0.172694236,0.368481879,-0.45140696,-0.343690237,0.152219965,0.506711366,-0.457860687,-0.11195361,0.488967755,0.130623205,-0.550530032,-0.479587983,0.078208574,-0.323345831,-1.048010487,-1.028491589,-0.244870495,826.4102564,843.3333333,846.5567766,832.4542125,871.5384615
0.265872748,-0.702815596,-0.319593126,0.174886609,0.420623162,-0.399976904,-0.38229897,0.108522749,0.506954292,-0.377601868,-0.049164983,0.469778039,0.123736529,-0.544929165,-0.382055028,0.052247095,-0.335828038,-0.994796577,-1.006918358,-0.328904193,826.8131868,847.3626374,840.5128205,818.3516484,792.1611722
0.433531496,-0.752966979,-0.399370352,0.352850168,0.473758292,-0.45668543,-0.502210164,0.137527555,0.587370853,-0.390641274,-0.036586539,0.642519204,0.246663807,-0.487264204,-0.280288805,0.18994019,-0.314838442,-0.860993123,-0.967188077,-0.227921952,842.5274725,851.3919414,841.7216117,825.2014652,853.8095238
0.46443773,-0.71889044,-0.309506886,0.436824671,0.449184884,-0.487251114,-0.39018282,0.158111061,0.654816304,-0.318762258,-0.04944742,0.82023382,0.332212407,-0.483878365,-0.230554267,0.328241547,-0.247746821,-0.846366296,-0.938773575,-0.22284391,836.4835165,842.1245421,838.0952381,829.6336996,853.4065934
0.540334592,-0.670986163,-0.259170839,0.40129906,0.392334477,-0.556145215,-0.268568691,0.143548433,0.654816304,-0.232130618,-0.1161544,0.82023382,0.391703395,-0.469622622,-0.296083154,0.381432428,-0.195938848,-0.871506299,-0.909541867,-0.211362574,838.0952381,847.3626374,848.1684982,832.0512821,832.0512821
